keyword,frequency
sakti,97
user,67
permohonan,60
tidak,41
password,37
dan,33
span,31
satker,31
pada,31
di,30
aplikasi,29
reset,26
data,25
perubahan,24
gaji,24
digit,23
permintaan,23
spm,20
