subject,jumlah_tiket
Kartu Kredit Pemerintah,2
Error SAKTI,2
E-Rekon,2
ganti password,2
Identifikasi Kode SPAN PT Telekomunikasi Indonesia,2
Permohonan Perubahan User SAKTI pada Satker 411280,2
Aplikasi gaji pppk,2
Pendaftaran user sakti,2
Konsultasi,2
Mohon Solusi,2
SKPP Pensiun,2
Angka Kredit Jafung APK APBN,2
mohon bantuan,2
contoh analisis BAR REKON eksternal KPPN,2
PENAMBAHAN PC YANG SUDAH JOIN DOMAIN PADA KPPN RANTAU PRAPAT,2
Permohonan Aktivasi User Digit,2
tidak bisa login,2
Capaian output,2
Identifikasi transfer SPAN,2
Join Domain pada jaringan internet,2
Persediaan,2
lupa password digit,2
Program PEN,2
Penghapusan ADK PMRT,2
Permohonan Data,2
Aktivasi akun digit,2
Revisi POK,2
MIGRASI SIMPONI,2
Reset password digit,2
komitmen,2
Perpanjangan Sertifikat BNT,2
LPJ Bendahara Penerimaan,2
Pergantian Nomor HP,2
Perubahan user sakti wilayah,2
Penonaktifan User Sakti,2
user digit,2
Reset Password Digit Kemenkeu,2
Reset password SAKTI,2
Penawaran Harga Penginapan & Ruang Meeting - Hotel Grand Kutilang Syariah,2
Lupa Password SAKTI,2
"Pembuat ADK THR CPNS, tidak bisa karena nama tidak muncul",2
Kontrak,2
Salah Penginputan Transaksi Masuk pada Modul Persediaan,2
lupa kata sandi aplikasi SAKTI,2
Akun Simaspaten,2
Aplikasi E-jafung,2
Cetak Laporan aset tetap di Neraca Posisi Kosong,2
perubahan wilayah data profil MPN G3,2
Reset pasword digit,2
Permohonan reset password akun digit Satker,2
TUTUP BUKU SEMENTARA SATKER KPPN DAK FISIK DD 403547 TA 2019,1
Tidak Bisa Cetak List Validasi,1
error pada saat perekaman renkas harian,1
Pilih satu Data Surat Persetujuan KKP,1
Permintaan username dan password aplikasi e-Rekon,1
satker ROOPS polda kalteng - permohonan bantuan penyelesaian masalah gaji susulan Polri tidak bisa di proses,1
GU Nihil 237952,1
Permohonan Pembatalan Pencatatan SP2D Satker 410000,1
Mohon hapus transfer masuk: SAKTI,1
Monitoring Jaminan Pembayaran Akhir Tahun Anggaran melalui OMSPAN,1
Pengembalian PNBP,1
ADK LPJ Bendahara,1
Menu supplier pada SPAN,1
Cara Mengubah Pin PPSPM,1
Cara mengembalikan sisa dana kas UP BPP ke BP,1
Pergantian header supplier,1
MPHL SAKTI,1
Perbedaan Data Modul Pagu dan Realisasi dan Modul Sisa Pagu,1
Selisih pada akun 111822 dan akun 43 Pendapatan Hibah,1
SAS 2020 surat persetujuan UP. Sudah bisa ajukan UP?,1
Laporan Pertanggungjawaban Bendahara di SAKTI,1
Tidak Dapat Membuat Pungutan Pajak,1
Pemutakhiran (Updating) Referensi pada SPAN terkait perubahan KPPN Mitra Satker,1
Permasalahan Pendapatan Minus Satker Ditlantas Polda Kepri (669371),1
Broadcast maintenance 3 Januari 2020,1
Permohonan Perubahan user Sekretaris Eselon II Kanwil DJPb Provinsi Sulawesi Selatan,1
Terkait persediaan SAKTI,1
mohon kill login,1
Koreksi AKUn Penerimaan Negara,1
Pagu dan realisasi belanja tidak sesuai,1
Eror aplikasi omspan,1
Permohonan Penambahan dan Penghapusan User SAKTI satker 630931,1
OM Span,1
omspan,1
sprint,1
Tidak Bisa Konfirmasi Pajak Yang Disetor Tanggal 31 Desember 2019,1
Permintaan Guide Book,1
SAS 2020,1
BPP: Potongan pajak atas gaji susulan,1
data rekap pnbp,1
salah nip ppk pada menu admin,1
Rekening Satker Pindah kementerian,1
PERMOHONAN SETUP REGISTER,1
cara mencari nrs pegawai,1
KOMPENSASI UTANG PAJAK KE NPWP YANG SUDAH DI HAPUS,1
masih ada kas di Bend. Pengeluaran di neraca saiba,1
ADK LPJ DESEMBER 2019 tertolak,1
Pembatalan Rencana Penarikan Dana (RPD),1
User admin Aplikasi GPP Terpusat,1
Tutup periode adj 1 2019 sakti dakf dd,1
Menu Pendaftaran BPP Tidak Ada,1
SAKTI : Ubah tanggal SPMKP,1
Pergantian user SAKTI satker 634792 (KPPN Wonosari),1
Pengembalian kelebihan setoran TUP 2019,1
Nilai IKPA Indikator Rekon LPJ belum terupdate,1
Perbedaan Realisasi Anggaran Antara Sakti dan OmSPAN,1
Pendaftaran User SAKTI Satker Sekretariat Negara,1
HASIL PEMERIKSAAN KAS MASIH MUNCUL KUITANSI YANG BELUM DI SPM KAN,1
SPM-KP tertolak,1
Menu Penggantian User SPAN,1
Perubahan nomenklatur satker LIPI,1
Tidak bisa di simpan SPP GUP Nihil di SAKTI,1
Permohonan Pergantian User Aplikasi SAKTI,1
user admin sakti tidak bisa login,1
Modul penerimaan,1
Perbaikan Tanggal DIPA 2020 pada Aplikasi SAKTI,1
Data Ketersediaan Dana,1
Ambil potongan pajak TA 2019 dari OM SPAN,1
permohonan pembuatan username dan password OMSPAN satker STASIUN METEOROLOGI MARITIM AMBON? 436010,1
kill admin2 dan opr34 satker kantor pusat DJBC (410640),1
Permasalahan pada SPAN 2020,1
Cara memdapatkan username dan password untuk masuk OMSPAN,1
Realisasi Penerimaan Pendapatan Per Akun Pada Span TA 2019 Tidak Sesuai,1
maksimal SPM GUP untuk Kartu kredit Pemerintah,1
Konfirmasi setoran,1
Bagaimana cara reset password akun Mpn g3,1
SAKTI: Kegagalan pendaftaran email sakti,1
Kwitansi belum dilakukan perekaman tetapi saldo sudah 0,1
Registrasi DIGIT,1
Mengkill user,1
konfirmasi penerimaan negara tidak berhasil,1
Daftar SP2D,1
Pembatalan SPM tetap Mempengaruhi Saldo,1
Permintaan Penghapusan PMRT KPPN PAINAN per 9 Januari 2020,1
mengubah jenis supplier pada adk supplier,1
Permohonan Perubahan Nama Supplier satker MtsN 2 Sekadau (680036),1
konsul hasil rekon desember 2019,1
Permohonan Penghapusan file PMRT,1
Username SAKTI Web tingkat Eselon I dan Unit,1
Kesalahan Nama Penerima pada gaji terusan ke bendahara,1
sas 20 menu admin,1
Penambahan satker Kementerian Keuangan,1
Penggantian User SPAN 2020,1
Perubahan Kasi PDMS (K4) Pada HAI-CSO KPPN Banyuwangi,1
Kendala Login e-Performance,1
Permintaan Akses (User dan Password) Online Monitoring SPAN,1
Gagal Upload ADK LPJ,1
input penyerapan,1
Private Key DS tidak berfungsi setelah update,1
Bagaimana cara melakukan koreksi SPM GUP yang memuat akun belanja modal (53),1
Bukti Konversi Tidak Dapat Dicetak,1
Koreksi Penerimaan pada SPAN Production 2019,1
Permintaan Penghapusan PMRT pada Om span,1
Permohonan Batal Validai dan Batal Approve,1
Permohonan penggantian password OMSPAN,1
Tindak Lanjut Sensus BMN 2019 terkait Aset tetap belum dilakukan validasi dan approve,1
Penggantian users SAKTI,1
Permintaan user,1
Push Data Bulan Desember 2019,1
Lanjutan Tiket 20200109-BXU0LN,1
Penyampaian Penggantian User SAKTI,1
Pembayaran Tunggakan 2019,1
Error Hasil Pengujian Gaji Satuan Kerja Hasil Likuidasi,1
Permasalahan Tanggal Perekaman pada SAKTI yang tidak sesuai,1
Penambahan Referensi Satker GPP Terpusat,1
Penghapusan data konfigurasi SAKTI web,1
Penatausahaan dan Monitoring Jaminan Pembayaran Akhir Tahun Anggaran,1
monitoring spm,1
Terkait pelaksanaan anggaran,1
Admin sakti terblokir,1
Rekon Gaji Indu Tertolak pada Aplikasi Gaji Terpusat,1
MPHLBJS belum muncul di excel hasil rekon,1
Revisi Anggaran TA 2020 Kewangan Kanwil DJPBN,1
Data akun belanja persediaan tidak muncul,1
Akun pembulatan gaji,1
Status Proses Error,1
Permohonan persetujuan e rekon satker 403521 KPPN KUNINGAN PENGELOLA PENYALURAN DANA ALOKASI KHUSUS FISIK DAN DANA DESA,1
Perbaikan Transaksi Penerimaan Tahun 2020,1
Pendaftaran User Sakti Sebagai Eselon 1,1
SAKTI : Pengajuan SPMKP tanpa renkas,1
ADK Revisi SAKTI tidak terbentuk padahal proses berhasil,1
Permohonan User dan Password OMSPAN,1
Permohonan Pembatalan Nomor Invoice SPM,1
Lupa Password Sakti,1
Batal definitif KDP dan ada KDP yang tidak bisa didefinitifkan.,1
User administrator Komputer,1
Aplikasi POK 2020,1
Monitoring Penerimaan,1
Permintaan Pembukaan Trigger OMSPAN untuk perbaikan capaian output Pemda,1
Kas di Bendahara Pengeluaran Minus,1
SPM Gaji Induk tidak bisa divalidasi di FO SPAN,1
Tanya File Backup SAS 2019,1
Perbedaan rincian SSPB antara OMSPAN dengan SIMPONI,1
capaian output di erekon tidak muncul,1
tidak bisa daftar email sakti,1
Salah Jurnal,1
permintaan buka approve modul aset,1
Alur proses pendaftaran PPSPM satker SAKTI,1
Tidak Bisa Verifikasi Referensi Satker,1
Permasalahan Migrasi Server ke PC Workstation,1
Upload user saktimail.go.id,1
PC tidak masuk join domain,1
Permohonan Pembatalan Approve Transaksi,1
Status SP2D belum dikonfirmasi Bank Overbooking,1
NOMOR REGISTER HIBAH TIDAK MUNCUL DI APLIKASI 2019,1
"Data Koreksi SPM yang diupload, tidak muncul di menu Kasi PD",1
Push ulang,1
SP2D UP,1
NOMOR SERTIFIKAT BNT,1
Permintaan Pembatalan (Void) SP2B BLU Rumkital Dr. Ramelan,1
Permohonan Penyamaan Data,1
Validasi Tukin pada pembuatan Gaji Susulan,1
User SIMPONI pada OPD (Dinas-Dinas),1
penerbitan SP2d,1
Data SP2D yang belum dikonfirmasi Bank,1
aplikasi sakti,1
Permohonan pembatalan Reklas Keluar,1
Konfirmasi Setoran sisa TUP Tahun 2019 sehubungan E-Rekon&LK,1
SOP GUP BPP SAKTI,1
Permintaan petunjuk penyelesaian masalah kontrak SPAN New Production,1
Push E-Rekon,1
Perbaikan Data SP2D,1
Koreksi UP TUP Satker 426839 memunculkan Saldo UP TUP di Neraca Lajur.,1
email aktivasi tidak terkirim ke email yang telah didaftarkan,1
LPJ Bendahara (Rekonsiliasi),1
Permohonan Pembatalan Transaksi Pengembangan dengan KDP dan Transaksi Perolehan Lainnya,1
Permintaan buka buku Desember 2019,1
Mohon bantuan Error GPP,1
Validasi SPM gaji di sistem SPAN Gagal,1
Spm no 00004T/409063/2020 satker 409063 sudah validasi di FO tapi tidak muncul di MO seski PD,1
tampilan pembebanan akun,1
Tidak Bisa Menghapus/Mengubah SPBY pada sakti,1
Cara mengubah nomor dan tgl SP2D yang sudah diupload,1
Permintaan User OMSPAN untuk Pemda,1
Salah Memilih Kode Barang Aset Tetap,1
Permohonan Push E-Rekon SAKTI Manual 663513,1
Sakti Error,1
PERBEDAAN JUMLAH PELAPORAN (NEW),1
Gaji induk.ppnpn januari dan februari 2020,1
Aktivasi rekening bSM yang belum ada di SPAN untuk gaji,1
User KWL29PP1 terkunci,1
Informasi atas SPMKP yang sudah diajukan ke KPPN,1
Permohonan untuk Push Data ke E-Rekon,1
Permohonan Penambahan Kewenangan User dan Password Aplikasi Sakti KPPN Cilacap Penyaluran Dana Alokasi Khusus Fisik dan Dana Desa,1
Penambahan Role User,1
Kwitansi Tidak dipilih satu saja,1
Menu di Modul Admin Tidak Muncul,1
Keterlambatan,1
Daftar Bendahara Satker Tahun 2020 dgn Kondisi Bersertifikat dan tdk Bersertifikat a.n Lila Vita Damayanti,1
Push adk e rekon satker 560855,1
Kill Session Login Admin Sakti,1
Menambah Pegawai pada Supplier Pegawai SAKTI,1
permintaan penggantian approval Eselon II pada aplikasi CWSPAN (revisi DIPA),1
Pin Pejabat Pembuat Komitmen,1
cara menutup kontrka massal,1
Akun 212111 & 212112 di Buku Besar dan Neraca Percobaan Akrual Berbeda,1
Input pajak sas,1
Rekon Saldo Tidak Normal,1
Push Data SAKTI Periode Desember 2019 (Update 27_01_2020),1
Push Data e-Rekon,1
Akun Utang Yang Belum Diterima Tagihannya,1
Penyamaan Data Satker Baru Hasil Likuidasi dan Penambahan Histori Gaji,1
Penyampaian SK penetapan pejabat perbendaharaan penyaluran DFDD KPPN Bandung II,1
Permasalahan tidak adanya Menu Komitmen di User BPP,1
Penyampaian SK penetapan pejabat perbendaharaan penyaluran DFDD KPPN Pontianak,1
Tidak bisa login ke OMSPAN DPMD,1
belum bisa upload adk bendahara ke sprint,1
