topic,correlation,abs_correlation
SAS,-0.5696,0.5696
PMRT,-0.4723,0.4723
LPJ_BENDAHARA,-0.3797,0.3797
UP_TUP_GUP,-0.2826,0.2826
LAINNYA,0.2249,0.2249
SAKTI,-0.1823,0.1823
PIN_PPSPM,-0.1497,0.1497
MPN_G3,-0.147,0.147
CAPAIAN_OUTPUT,-0.1449,0.1449
OMSPAN,0.1406,0.1406
SIMASPATEN,0.1356,0.1356
SPAN,-0.1154,0.1154
SUPPLIER,0.1116,0.1116
SPM,0.1008,0.1008
GPP,-0.0544,0.0544
KONTRAK,-0.0431,0.0431
REVISI_DIPA,0.039,0.039
DIGIT,0.0127,0.0127
SP2D,-0.0036,0.0036
