periode,tahun,bulan,topic,jumlah_tiket,risk_weight,baseline,growth_rate,growth_score,volume_score,emerging_score,emerging_index,risk_level
2022-12,2022,12,MPN_G3,11,2,4.0,175.0,175.0,2.4849066497880004,249.758506396608,45.68,YELLOW
2022-12,2022,12,SAKTI,100,5,102.0,-1.96,-1.96,4.61512051684126,178.72482067365038,34.81,GREEN
2022-12,2022,12,SPM,12,4,9.333333333333334,28.57,28.57,2.5649493574615367,150.64637943876917,30.52,GREEN
2022-12,2022,12,DIGIT,12,2,36.0,-66.67,-66.67,2.5649493574615367,-38.96481028061542,1.52,GREEN
